"","Tributary","ReachName","Date","Survey","Species","SpeciesCertainty","ReddAge","Season","Crew"
"39","PENA CREEK","PEN 4",2017-03-10,"SS","STEELHEAD",2,1,"2016-2017","SB MT DB"
"40","PENA CREEK","PEN 4",2017-03-10,"SS","STEELHEAD",2,1,"2016-2017","SB MT DB"
"41","PENA CREEK","PEN 4",2017-03-10,"SS","STEELHEAD",1,1,"2016-2017","SB MT DB"
"42","PENA CREEK","PEN 4",2017-03-10,"SS","STEELHEAD",1,1,"2016-2017","SB MT DB"
"43","PENA CREEK","PEN 4",2017-03-10,"SS","STEELHEAD",2,1,"2016-2017","SB MT DB"
"44","PENA CREEK","PEN 4",2017-03-10,"SS","STEELHEAD",2,1,"2016-2017","SB MT DB"
"45","PENA CREEK","PEN 3",2017-03-10,"SS","STEELHEAD",2,1,"2016-2017","WB MG"
"46","PENA CREEK","PEN 3",2017-03-10,"SS","STEELHEAD",1,1,"2016-2017","WB MG"
"47","PENA CREEK","PEN 3",2017-03-10,"SS","STEELHEAD",2,1,"2016-2017","WB MG"
"48","PENA CREEK","PEN 3",2017-03-10,"SS","STEELHEAD",2,1,"2016-2017","WB MG"
"49","PENA CREEK","PEN 3",2017-03-10,"SS","STEELHEAD",2,1,"2016-2017","WB MG"
"50","PENA CREEK","PEN 3",2017-03-10,"SS","STEELHEAD",2,1,"2016-2017","WB MG"
"51","PENA CREEK","PEN 3",2017-03-10,"SS","STEELHEAD",2,1,"2016-2017","WB MG"
"52","PENA CREEK","PEN 3",2017-03-10,"SS","SALMONID SP",-9999,1,"2016-2017","WB MG"
"53","MARK WEST CREEK","MAR 13",2017-03-09,"SS","SALMONID SP",-9999,1,"2016-2017","AI SB"
"54","MILL CREEK","MIL 2",2017-03-08,"SS","STEELHEAD",2,1,"2016-2017","SB SC"
"55","MILL CREEK","MIL 2",2017-03-08,"SS","STEELHEAD",2,1,"2016-2017","SB SC"
"56","MILL CREEK","MIL 2",2017-03-08,"SS","STEELHEAD",2,1,"2016-2017","SB SC"
"57","MILL CREEK","MIL 2",2017-03-08,"SS","STEELHEAD",2,1,"2016-2017","SB SC"
"58","GRAY CREEK","GRA 1",2017-03-08,"SS","STEELHEAD",2,1,"2016-2017","DB CO"
"59","GRAY CREEK","GRA 1",2017-03-08,"SS","STEELHEAD",2,1,"2016-2017","DB CO"
"60","GRAY CREEK","GRA 2",2017-03-08,"SS","STEELHEAD",2,1,"2016-2017","CO DB"
"61","PORTER CREEK","POR 1",2017-03-07,"SS","STEELHEAD",2,1,"2016-2017","JRR CO"
"62","PORTER CREEK","POR 3",2017-03-07,"SS","STEELHEAD",2,1,"2016-2017","KS SB"
"63","HULBERT CREEK","HUL 1",2017-03-07,"SS","STEELHEAD",2,1,"2016-2017","JRR CO"
"64","GRAPE CREEK","GRP 1",2017-03-06,"SS","STEELHEAD",1,1,"2016-2017","MT AS"
"65","GRAPE CREEK","GRP 1",2017-03-06,"SS","STEELHEAD",1,1,"2016-2017","MT AS"
"66","GRAPE CREEK","GRP 1",2017-03-06,"SS","STEELHEAD",2,1,"2016-2017","MT AS"
"67","GRAPE CREEK","GRP 1",2017-03-06,"SS","SALMONID SP",-9999,1,"2016-2017","MT AS"
"68","GRAPE CREEK","GRP 1",2017-03-06,"SS","STEELHEAD",1,1,"2016-2017","MT AS"
"69","GRAPE CREEK","GRP 2",2017-03-06,"SS","STEELHEAD",1,1,"2016-2017","MT AS"
"70","GRAPE CREEK","GRP 2",2017-03-06,"SS","STEELHEAD",2,1,"2016-2017","MT AS"
"71","WINE CREEK","WIN 1",2017-03-06,"SS","STEELHEAD",2,1,"2016-2017","MT AS"
"72","WINE CREEK","WIN 1",2017-03-06,"SS","STEELHEAD",2,1,"2016-2017","MT AS"
"73","SANTA ROSA CREEK","SAN 9",2017-03-02,"SS","STEELHEAD",2,1,"2016-2017","RA SE"
"74","CRANE CREEK","CRA 1",2017-03-02,"SS","STEELHEAD",1,1,"2016-2017","RA SE"
"75","CRANE CREEK","CRA 1",2017-03-02,"SS","STEELHEAD",2,1,"2016-2017","RA SE"
"76","PENA CREEK","PEN 1",2017-03-01,"SS","STEELHEAD",2,1,"2016-2017","MT EM JA"
"77","PENA CREEK","PEN 1",2017-03-01,"SS","STEELHEAD",1,1,"2016-2017","MT EM JA"
"78","PENA CREEK","PEN 1",2017-03-01,"SS","STEELHEAD",2,1,"2016-2017","MT EM JA"
"79","PENA CREEK","PEN 1",2017-03-01,"SS","STEELHEAD",1,1,"2016-2017","MT EM JA"
"80","PENA CREEK","PEN 1",2017-03-01,"SS","STEELHEAD",1,1,"2016-2017","MT EM JA"
"81","PENA CREEK","PEN 1",2017-03-01,"SS","STEELHEAD",2,1,"2016-2017","MT EM JA"
"82","PENA CREEK","PEN 4",2017-03-01,"SS","STEELHEAD",1,1,"2016-2017","JRR WB"
"83","PENA CREEK","PEN 4",2017-03-01,"SS","STEELHEAD",1,1,"2016-2017","JRR WB"
"84","PENA CREEK","PEN 3",2017-03-01,"SS","STEELHEAD",1,1,"2016-2017","KS AI"
"85","PENA CREEK","PEN 3",2017-03-01,"SS","STEELHEAD",1,1,"2016-2017","KS AI"
"86","PENA CREEK","PEN 3",2017-03-01,"SS","STEELHEAD",2,1,"2016-2017","KS AI"
"87","PENA CREEK","PEN 3",2017-03-01,"SS","STEELHEAD",1,1,"2016-2017","KS AI"
"88","PENA CREEK","PEN 3",2017-03-01,"SS","SALMONID SP",-9999,1,"2016-2017","KS AI"
"89","GRAPE CREEK","GRP 1",2017-02-27,"SS","SALMONID SP",-9999,1,"2016-2017","AI AS"
"90","WINE CREEK","WIN 1",2017-02-27,"SS","STEELHEAD",2,1,"2016-2017","JRR CO"
"91","WINE CREEK","WIN 1",2017-02-27,"SS","STEELHEAD",2,1,"2016-2017","JRR CO"
"92","WINE CREEK","WIN 1",2017-02-27,"SS","STEELHEAD",2,1,"2016-2017","JRR CO"
"93","WINE CREEK","WIN 1",2017-02-27,"SS","STEELHEAD",2,1,"2016-2017","JRR CO"
"94","WINE CREEK","WIN 1",2017-02-27,"SS","STEELHEAD",2,1,"2016-2017","JRR CO"
"95","WINE CREEK","WIN 1",2017-02-27,"SS","STEELHEAD",2,1,"2016-2017","JRR CO"
"96","WINE CREEK","WIN 1",2017-02-27,"SS","STEELHEAD",2,1,"2016-2017","JRR CO"
"97","WINE CREEK","WIN 1",2017-02-27,"SS","STEELHEAD",2,1,"2016-2017","JRR CO"
"98","WINE CREEK","WIN 1",2017-02-27,"SS","STEELHEAD",2,1,"2016-2017","JRR CO"
"99","GRAPE CREEK","GRP 2",2017-02-27,"SS","STEELHEAD",2,1,"2016-2017","AS AI"
"100","GRAPE CREEK","GRP 2",2017-02-27,"SS","STEELHEAD",2,1,"2016-2017","AS AI"
"101","GRAPE CREEK","GRP 2",2017-02-27,"SS","STEELHEAD",1,1,"2016-2017","AS AI"
"102","PORTER CREEK","POR 3",2017-02-27,"SS","STEELHEAD",1,1,"2016-2017","MT EM"
"103","PORTER CREEK","POR 3",2017-02-27,"SS","STEELHEAD",2,1,"2016-2017","MT EM"
"104","CRANE CREEK","CRA 1",2017-02-23,"SS","STEELHEAD",2,1,"2016-2017","LE MT"
"105","GILLIAM CREEK","GIL 1",2017-02-15,"SS","SALMONID SP",-9999,1,"2016-2017","TC AI"
"106","FELTA CREEK","FEL 1",2017-02-15,"SS","SALMONID SP",-9999,1,"2016-2017","KS ZR"
"107","FELTA CREEK","FEL 1",2017-02-15,"SS","STEELHEAD",2,1,"2016-2017","KS ZR"
"108","GRAPE CREEK","GRP 1",2017-02-14,"SS","STEELHEAD",2,1,"2016-2017","ZR WB"
"109","GRAPE CREEK","GRP 1",2017-02-14,"SS","STEELHEAD",2,1,"2016-2017","ZR WB"
"110","GRAPE CREEK","GRP 1",2017-02-14,"SS","SALMONID SP",-9999,1,"2016-2017","ZR WB"
"111","PORTER CREEK","POR 2",2017-02-14,"SS","STEELHEAD",1,1,"2016-2017","AI MT SE"
"112","GRAPE CREEK","GRP 2",2017-02-14,"SS","STEELHEAD",2,1,"2016-2017","ZR WB"
"113","WINE CREEK","WIN 1",2017-02-14,"SS","STEELHEAD",2,1,"2016-2017","ZR WB"
"114","WINE CREEK","WIN 1",2017-02-14,"SS","STEELHEAD",2,1,"2016-2017","ZR WB"
"115","WINE CREEK","WIN 1",2017-02-14,"SS","SALMONID SP",-9999,1,"2016-2017","ZR WB"
"116","WOODS CREEK","WOO 1",2017-02-01,"SS","STEELHEAD",2,1,"2016-2017","WB JRR"
"117","PENA CREEK","PEN 1",2017-02-01,"SS","STEELHEAD",1,1,"2016-2017","NB DB"
"118","PENA CREEK","PEN 1",2017-02-01,"SS","STEELHEAD",1,1,"2016-2017","NB DB"
"119","PENA CREEK","PEN 1",2017-02-01,"SS","STEELHEAD",1,1,"2016-2017","NB DB"
"120","PENA CREEK","PEN 1",2017-02-01,"SS","STEELHEAD",1,1,"2016-2017","NB DB"
"121","PENA CREEK","PEN 1",2017-02-01,"SS","CHINOOK SALMON",2,1,"2016-2017","NB DB"
"122","PENA CREEK","PEN 1",2017-02-01,"SS","SALMONID SP",-9999,1,"2016-2017","NB DB"
"123","PENA CREEK","PEN 1",2017-02-01,"SS","CHINOOK SALMON",2,1,"2016-2017","NB DB"
"124","PENA CREEK","PEN 1",2017-02-01,"SS","STEELHEAD",1,1,"2016-2017","NB DB"
"125","PENA CREEK","PEN 4",2017-02-01,"SS","STEELHEAD",2,1,"2016-2017","BA LE"
"126","PORTER CREEK","POR 2",2017-02-01,"SS","STEELHEAD",2,1,"2016-2017","AJ ZR"
"127","PORTER CREEK","POR 2",2017-02-01,"SS","STEELHEAD",2,1,"2016-2017","AJ ZR"
"128","PENA CREEK","PEN 3",2017-02-01,"SS","COHO SALMON",2,1,"2016-2017","SB RA"
"129","PORTER CREEK","POR 3",2017-02-01,"SS","STEELHEAD",2,1,"2016-2017","ZR AJ"
"130","PORTER CREEK","POR 3",2017-02-01,"SS","STEELHEAD",2,1,"2016-2017","ZR AJ"
"131","GRAY CREEK","GRA 1",2017-01-30,"SS","SALMONID SP",-9999,1,"2016-2017","ZR MT"
"132","KIDD CREEK","KID 1",2017-01-27,"SS","SALMONID SP",-9999,1,"2016-2017","ZR CO"
"133","GRAPE CREEK","GRP 1",2017-01-26,"SS","STEELHEAD",1,1,"2016-2017","LE RA"
"134","GRAPE CREEK","GRP 2",2017-01-26,"SS","STEELHEAD",2,1,"2016-2017","LE RA"
"135","WINE CREEK","WIN 1",2017-01-26,"SS","STEELHEAD",2,1,"2016-2017","RA LE"
"136","PURRINGTON CREEK","PUR 1",2017-01-25,"SS","STEELHEAD",1,1,"2016-2017","CO JRR"
"137","PENA CREEK","PEN 1",2017-01-18,"SS","STEELHEAD",2,1,"2016-2017","LE SB"
"138","PENA CREEK","PEN 1",2017-01-18,"SS","STEELHEAD",1,1,"2016-2017","LE SB"
"139","PENA CREEK","PEN 4",2017-01-18,"SS","SALMONID SP",-9999,1,"2016-2017","JRR RA"
"140","PENA CREEK","PEN 3",2017-01-18,"SS","CHINOOK SALMON",2,1,"2016-2017","MT NB"
"141","MARK WEST CREEK","MAR 14",2017-01-17,"SS","STEELHEAD",1,1,"2016-2017","RA MT"
"142","GRAPE CREEK","GRP 1",2017-01-15,"SS","COHO SALMON",2,1,"2016-2017","MT JRR"
"143","GRAPE CREEK","GRP 1",2017-01-15,"SS","STEELHEAD",2,1,"2016-2017","MT JRR"
"144","WINE CREEK","WIN 1",2017-01-15,"SS","STEELHEAD",2,1,"2016-2017","MT JRR"
"145","WINE CREEK","WIN 1",2017-01-15,"SS","STEELHEAD",2,1,"2016-2017","MT JRR"
"146","WINE CREEK","WIN 1",2017-01-15,"SS","STEELHEAD",2,1,"2016-2017","MT JRR"
"147","GREEN VALLEY CREEK","GRE 2",2017-01-14,"SS","COHO SALMON",1,1,"2016-2017","ZR SB"
"148","GREEN VALLEY CREEK","GRE 2",2017-01-14,"SS","COHO SALMON",1,1,"2016-2017","ZR SB"
"149","GREEN VALLEY CREEK","GRE 2",2017-01-14,"SS","COHO SALMON",1,1,"2016-2017","ZR SB"
"150","SANTA ROSA CREEK","SAN 9",2017-01-14,"SS","SALMONID SP",-9999,1,"2016-2017","WB CO"
"151","NUTTY VALLEY CREEK","GRE 2",2017-01-14,"SS","STEELHEAD",2,1,"2016-2017","ZR SB"
"152","FELTA CREEK","FEL 1",2017-01-06,"SS","COHO SALMON",2,1,"2016-2017","LE CO"
"153","REDWOOD CREEK","RED 2",2017-01-03,"SS","STEELHEAD",2,1,"2016-2017","RA KS"
"154","MILL CREEK","MIL 1",2016-12-30,"SS","COHO SALMON",2,1,"2016-2017","AB KK"
"155","MILL CREEK","MIL 1",2016-12-30,"SS","COHO SALMON",2,1,"2016-2017","AB KK"
"156","MILL CREEK","MIL 1",2016-12-30,"SS","COHO SALMON",2,1,"2016-2017","AB KK"
"157","MILL CREEK","MIL 1",2016-12-30,"SS","COHO SALMON",1,1,"2016-2017","AB KK"
"158","MILL CREEK","MIL1.5",2016-12-30,"SS","COHO SALMON",2,1,"2016-2017","NB AW"
"159","MILL CREEK","MIL 3",2016-12-30,"SS","COHO SALMON",2,1,"2016-2017","LE RA"
"160","GRAY CREEK","GRA 2",2016-12-30,"SS","COHO SALMON",1,1,"2016-2017","KS AI"
"161","PORTER CREEK","POR 2",2016-12-29,"SS","STEELHEAD",2,1,"2016-2017","CO JRR"
"162","PORTER CREEK","POR 2",2016-12-29,"SS","COHO SALMON",2,1,"2016-2017","CO JRR"
"163","PORTER CREEK","POR 2",2016-12-29,"SS","COHO SALMON",2,1,"2016-2017","CO JRR"
"164","PORTER CREEK","POR 2",2016-12-29,"SS","COHO SALMON",2,1,"2016-2017","CO JRR"
"165","WINE CREEK","WIN 1",2016-12-29,"SS","SALMONID SP",-9999,1,"2016-2017","AI KS"
"166","WINE CREEK","WIN 1",2016-12-29,"SS","SALMONID SP",-9999,1,"2016-2017","AI KS"
"167","WINE CREEK","WIN 1",2016-12-29,"SS","SALMONID SP",-9999,1,"2016-2017","AI KS"
"168","PORTER CREEK","POR 3",2016-12-29,"SS","COHO SALMON",2,1,"2016-2017","CO JRR"
"169","PORTER CREEK","POR 3",2016-12-29,"SS","STEELHEAD",2,1,"2016-2017","CO JRR"
"170","HULBERT CREEK","HUL 1",2016-12-29,"SS","COHO SALMON",1,1,"2016-2017","RA AW"
"171","PURRINGTON CREEK","PUR 1",2016-12-28,"SS","COHO SALMON",2,1,"2016-2017","AJ CO"
"172","AUSTIN CREEK","AUS 5",2016-12-28,"SS","SALMONID SP",-9999,1,"2016-2017","AI AB"
"173","WILLOW CREEK","WIL 3",2016-12-28,"SS","SALMONID SP",-9999,1,"2016-2017","LE KS"
"174","WILLOW CREEK","WIL 4",2016-12-28,"SS","COHO SALMON",2,1,"2016-2017","JRR WB"
"175","WILLOW CREEK","WIL 4",2016-12-28,"SS","COHO SALMON",2,1,"2016-2017","JRR WB"
"176","WILLOW CREEK","WIL 4",2016-12-28,"SS","STEELHEAD",2,1,"2016-2017","JRR WB"
"177","WILLOW CREEK","WIL 4",2016-12-28,"SS","COHO SALMON",2,1,"2016-2017","JRR WB"
"178","GREEN VALLEY CREEK","GRE 1",2016-12-27,"SS","COHO SALMON",1,1,"2016-2017","JRR RA"
"179","GREEN VALLEY CREEK","GRE 1",2016-12-27,"SS","COHO SALMON",2,1,"2016-2017","JRR RA"
"180","GREEN VALLEY CREEK","GRE 1",2016-12-27,"SS","COHO SALMON",1,1,"2016-2017","JRR RA"
"181","GREEN VALLEY CREEK","GRE 1",2016-12-27,"SS","COHO SALMON",2,1,"2016-2017","JRR RA"
"182","GREEN VALLEY CREEK","GRE 1",2016-12-27,"SS","COHO SALMON",2,1,"2016-2017","JRR RA"
"183","GRAPE CREEK","GRP 1",2016-12-22,"SS","COHO SALMON",1,1,"2016-2017","WB CM"
"184","WINE CREEK","WIN 1",2016-12-22,"SS","SALMONID SP",-9999,1,"2016-2017","CM WB"
"185","WINE CREEK","WIN 1",2016-12-22,"SS","COHO SALMON",1,1,"2016-2017","CM WB"
"186","WINE CREEK","WIN 1",2016-12-22,"SS","SALMONID SP",-9999,1,"2016-2017","CM WB"
"187","MILL CREEK","MIL 1",2016-12-22,"SS","COHO SALMON",2,1,"2016-2017","CO SB"
"188","MILL CREEK","MIL 1",2016-12-22,"SS","COHO SALMON",1,1,"2016-2017","CO SB"
"189","MILL CREEK","MIL 1",2016-12-22,"SS","COHO SALMON",1,1,"2016-2017","CO SB"
"190","GRAPE CREEK","GRP 2",2016-12-22,"SS","COHO SALMON",1,1,"2016-2017","WB CM"
"191","WOODS CREEK","WOO 1",2016-12-21,"SS","SALMONID SP",-9999,1,"2016-2017","ZR SB"
"192","WOODS CREEK","WOO 1",2016-12-21,"SS","STEELHEAD",2,1,"2016-2017","ZR SB"
"193","PENA CREEK","PEN 1",2016-12-21,"SS","STEELHEAD",2,1,"2016-2017","RA MT"
"194","PENA CREEK","PEN 4",2016-12-21,"SS","CHINOOK SALMON",1,1,"2016-2017","AI KG"
"195","PENA CREEK","PEN 4",2016-12-21,"SS","CHINOOK SALMON",2,1,"2016-2017","AI KG"
"196","PENA CREEK","PEN 4",2016-12-21,"SS","CHINOOK SALMON",1,1,"2016-2017","AI KG"
"197","PENA CREEK","PEN 4",2016-12-21,"SS","SALMONID SP",-9999,1,"2016-2017","AI KG"
"198","PENA CREEK","PEN 4",2016-12-21,"SS","CHINOOK SALMON",1,1,"2016-2017","AI KG"
"199","REDWOOD CREEK","RED 2",2016-12-21,"SS","CHINOOK SALMON",1,1,"2016-2017","NB KS"
"200","REDWOOD CREEK","RED 2",2016-12-21,"SS","CHINOOK SALMON",1,1,"2016-2017","NB KS"
"201","PENA CREEK","PEN 3",2016-12-21,"SS","COHO SALMON",1,1,"2016-2017","WB KH"
"202","PENA CREEK","PEN 3",2016-12-21,"SS","CHINOOK SALMON",1,1,"2016-2017","WB KH"
"203","PENA CREEK","PEN 3",2016-12-21,"SS","CHINOOK SALMON",1,1,"2016-2017","WB KH"
"204","PENA CREEK","PEN 3",2016-12-21,"SS","COHO SALMON",1,1,"2016-2017","WB KH"
"205","PENA CREEK","PEN 3",2016-12-21,"SS","STEELHEAD",2,1,"2016-2017","WB KH"
"206","PENA CREEK","PEN 3",2016-12-21,"SS","STEELHEAD",2,1,"2016-2017","WB KH"
"207","CRANE CREEK","CRA 1",2016-12-21,"SS","COHO SALMON",2,1,"2016-2017","JRR CO"
"208","AUSTIN CREEK","AUS 5",2016-12-20,"SS","STEELHEAD",2,1,"2016-2017","ZR RA"
"209","AUSTIN CREEK","AUS 5",2016-12-20,"SS","SALMONID SP",-9999,1,"2016-2017","ZR RA"
"210","DUTCH BILL CREEK","DUT 2",2016-12-20,"SS","STEELHEAD",2,1,"2016-2017","JRR SB"
"211","DUTCH BILL CREEK","DUT 2",2016-12-20,"SS","STEELHEAD",1,1,"2016-2017","JRR SB"
"212","DUTCH BILL CREEK","DUT 2",2016-12-20,"SS","COHO SALMON",2,1,"2016-2017","JRR SB"
"213","DUTCH BILL CREEK","DUT 2",2016-12-20,"SS","SALMONID SP",-9999,1,"2016-2017","JRR SB"
"214","DUTCH BILL CREEK","DUT 2",2016-12-20,"SS","STEELHEAD",2,1,"2016-2017","JRR SB"
"215","GILLIAM CREEK","GIL 1",2016-12-20,"SS","STEELHEAD",2,1,"2016-2017","MT AMJ"
"216","GILLIAM CREEK","GIL 1",2016-12-20,"SS","COHO SALMON",1,1,"2016-2017","MT AMJ"
"217","FELTA CREEK","FEL 1",2016-12-19,"SS","COHO SALMON",1,1,"2016-2017","AM NB"
"218","FELTA CREEK","FEL 1",2016-12-19,"SS","COHO SALMON",2,1,"2016-2017","AM NB"
"219","MILL CREEK","MIL 3",2016-12-19,"SS","COHO SALMON",1,1,"2016-2017","MT JP"
"220","MILL CREEK","MIL 3",2016-12-19,"SS","COHO SALMON",1,1,"2016-2017","MT JP"
"221","GRAY CREEK","GRA 2",2016-12-19,"SS","COHO SALMON",2,1,"2016-2017","AI KS"
"222","GRAY CREEK","GRA 2",2016-12-19,"SS","SALMONID SP",-9999,1,"2016-2017","AI KS"
"223","MILL CREEK","MIL 4",2016-12-19,"SS","COHO SALMON",2,1,"2016-2017","JRR CO"
"224","REDWOOD CREEK","RED 1",2016-12-14,"SS","SALMONID SP",-9999,1,"2016-2017","RA LE"
"225","GILLIAM CREEK","GIL 1",2016-12-14,"SS","SALMONID SP",-9999,1,"2016-2017","ZR CO"
"226","WILLOW CREEK","WIL 3",2016-12-14,"SS","COHO SALMON",2,1,"2016-2017","AJ NB"
"227","WILLOW CREEK","WIL 3",2016-12-14,"SS","SALMONID SP",-9999,1,"2016-2017","AJ NB"
"228","WILLOW CREEK","WIL 3",2016-12-14,"SS","COHO SALMON",2,1,"2016-2017","AJ NB"
"229","WILLOW CREEK","WIL 3",2016-12-14,"SS","COHO SALMON",1,1,"2016-2017","AJ NB"
"230","WILLOW CREEK","WIL 4",2016-12-14,"SS","COHO SALMON",2,1,"2016-2017","MT AMJ"
"231","WILLOW CREEK","WIL 4",2016-12-14,"SS","COHO SALMON",2,1,"2016-2017","MT AMJ"
"232","REDWOOD CREEK","RED 2",2016-12-14,"SS","SALMONID SP",-9999,1,"2016-2017","RA LE"
"233","REDWOOD CREEK","RED 2",2016-12-14,"SS","SALMONID SP",-9999,1,"2016-2017","RA LE"
"234","REDWOOD CREEK","RED 2",2016-12-14,"SS","SALMONID SP",-9999,1,"2016-2017","RA LE"
"235","WOODS CREEK","WOO 1",2016-12-13,"SS","CHINOOK SALMON",1,1,"2016-2017","RA WB"
"236","WOODS CREEK","WOO 1",2016-12-13,"SS","COHO SALMON",1,1,"2016-2017","RA WB"
"237","WOODS CREEK","WOO 1",2016-12-13,"SS","SALMONID SP",-9999,1,"2016-2017","RA WB"
"238","WOODS CREEK","WOO 1",2016-12-13,"SS","CHINOOK SALMON",1,1,"2016-2017","RA WB"
"239","WOODS CREEK","WOO 1",2016-12-13,"SS","STEELHEAD",2,1,"2016-2017","RA WB"
"240","WOODS CREEK","WOO 1",2016-12-13,"SS","CHINOOK SALMON",1,1,"2016-2017","RA WB"
"241","WOODS CREEK","WOO 1",2016-12-13,"SS","COHO SALMON",1,1,"2016-2017","RA WB"
"242","WOODS CREEK","WOO 1",2016-12-13,"SS","COHO SALMON",2,1,"2016-2017","RA WB"
"243","WOODS CREEK","WOO 1",2016-12-13,"SS","COHO SALMON",2,1,"2016-2017","RA WB"
"244","WOODS CREEK","WOO 1",2016-12-13,"SS","SALMONID SP",-9999,1,"2016-2017","RA WB"
"245","PENA CREEK","PEN 4",2016-12-13,"SS","CHINOOK SALMON",1,1,"2016-2017","AI CO"
"246","PENA CREEK","PEN 4",2016-12-13,"SS","CHINOOK SALMON",2,1,"2016-2017","AI CO"
"247","PENA CREEK","PEN 4",2016-12-13,"SS","CHINOOK SALMON",2,1,"2016-2017","AI CO"
"248","PENA CREEK","PEN 4",2016-12-13,"SS","CHINOOK SALMON",1,1,"2016-2017","AI CO"
"249","PENA CREEK","PEN 4",2016-12-13,"SS","CHINOOK SALMON",2,1,"2016-2017","AI CO"
"250","PENA CREEK","PEN 4",2016-12-13,"SS","SALMONID SP",-9999,1,"2016-2017","AI CO"
"251","PENA CREEK","PEN 4",2016-12-13,"SS","CHINOOK SALMON",1,1,"2016-2017","AI CO"
"252","WINE CREEK","WIN 1",2016-12-13,"SS","COHO SALMON",2,1,"2016-2017","AMJ JRR"
